Timestamp,Username,Question,Intent,Response
2023-02-16 08:28:20,yunusmarsetio,Nama dari SJPH ini saya berikan nama apa ya?,SJPH_Nama,"SJPH akan diperbarui setiap 4 tahun. Untuk memudahkan, dapat diberikan nama seperti ""SJPH Tahun 2022"""
2023-02-16 08:28:40,yunusmarsetio,NIB ini apa ya?,SJPH_InfoNIB,"Nomor Induk Berusaha (NIB) adalah identitas pelaku usaha yang diterbitkan oleh lembaga OSS. Setelah memiliki NIB, maka pelaku usaha bisa mengajukan Izin Usaha dan Izin Komersial atau Operasional sesuai dengan bidang usahanya masing-masing."
2023-02-16 08:29:19,yunusmarsetio,Cara saya bisa mendapatkan NIB?,SJPH_CariNIB,Nomor Induk Berusaha (NIB) bisa didapatkan oleh pelaku usaha yang diterbitkan oleh lembaga OSS melalui website https://oss.go.id/.
2023-02-16 08:29:44,yunusmarsetio,Skala usaha saya ini bisa dinilai dari apa?,PelakuUsaha_Jenis,"Usaha mikro memiliki omzet tahunan maksimal Rp300 juta.
Usaha kecil memiliki omzet antara Rp300 juta sampai Rp2,5 miliar.
Usaha menengah memiliki pendapatan usaha Rp2,5 miliar sampai Rp50 miliar."
2023-02-16 08:30:23,yunusmarsetio,Penyelia halal maksudnya apa?,PenyeliaHalal_Info,"Penyelia halal adalah orang yang memiliki peran penting dalam menjalanan proses sertifikasi produk halal di perusahaan.
Ada sejumlah tugas penyelia halal, yaitu:
Mengawasi Proses Produk Halal (PPH) di perusahaan
Menentukan tindakan perbaikan jika ada masalah dan pencegahan masalah terkait produk halal
Mengoordinasikan PPH di perusahaan
Mendampingi Auditor Halal pada saat pemeriksaan kehalalan produk di perusahaan"
2023-02-16 08:32:48,yunusmarsetio,Dimana saya bisa mendapatkan penyelia halal?,PenyeliaHalal_Cari,"Sejumlah persyaratan pengajuan penyelia halal di perusahaan, yaitu:
Fotokopi KTP penyelia halal
Daftar riwayat hidup penyelia halal
Fotokopi sertifikat pelatihan dan kompetensi yang telah dilegalisasi oleh pihak yang berwenang.
Fotokopi keputusan untuk menetapkan seorang penyelia halal di perusahaan. Salinan ini harus telah dilegalisasi."
2023-02-16 08:33:19,yunusmarsetio,Apakah UMKM juga bisa kalau mau menjadi penyelia halal?,PenyeliaHalal_Menjadi,pelaku usaha bisa menjadi penyelia halal selama memenuhi persyaratan sebagai penyelia halal
2023-02-16 08:33:53,yunusmarsetio,"Kalau begitu, untuk syaratnya penyelia halal apa saja?",PenyeliaHalal_Syarat,"Syarat penyelia halal adalah:
Memiliki sertifikat penyelia halal yang bisa didapatkan setelah mengikuti sertifikasi kompetensi penyelia halal.
Beragama Islam
Memiliki wawasan yang luas tentang kehalalan produk berdasarkan syariah Islam"""
2023-02-16 08:34:13,yunusmarsetio,Sertifikasi penyelia halal itu apa ya?,PenyeliaHalal_Info,"Penyelia halal adalah orang yang memiliki peran penting dalam menjalanan proses sertifikasi produk halal di perusahaan.
Ada sejumlah tugas penyelia halal, yaitu:
Mengawasi Proses Produk Halal (PPH) di perusahaan
Menentukan tindakan perbaikan jika ada masalah dan pencegahan masalah terkait produk halal
Mengoordinasikan PPH di perusahaan
Mendampingi Auditor Halal pada saat pemeriksaan kehalalan produk di perusahaan"
2023-02-16 08:34:46,yunusmarsetio,Pelatihan dari penyelia halal apakah ada?,PenyeliaHalal_Syarat,"Syarat penyelia halal adalah:
Memiliki sertifikat penyelia halal yang bisa didapatkan setelah mengikuti sertifikasi kompetensi penyelia halal.
Beragama Islam
Memiliki wawasan yang luas tentang kehalalan produk berdasarkan syariah Islam"""
